From Bus,To Bus,Resistance,Reactance,Susceptance,RateA,RateB,RateC,Ratio,Angle,Status,Min Angle Difference,Max Angle Difference,G,B
1.0,2.0,0.0303,0.0999,0.0254,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.78,9.167
1.0,3.0,0.0129,0.0424,0.01082,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,6.568,21.587
4.0,5.0,0.00176,0.00798,0.0021,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,26.356,119.5
3.0,5.0,0.0241,0.108,0.0284,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.968,8.82
5.0,6.0,0.0119,0.054,0.01426,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.892,17.661
6.0,7.0,0.00459,0.0208,0.0055,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,10.117,45.844
8.0,9.0,0.00244,0.0305,1.162,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.606,32.578
8.0,5.0,0.0,0.0267,0.0,0.0,0.0,0.0,0.985,0.0,1.0,-360.0,360.0,0.0,37.453
9.0,10.0,0.00258,0.0322,1.23,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.472,30.858
4.0,11.0,0.0209,0.0688,0.01748,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.042,13.307
5.0,11.0,0.0203,0.0682,0.01738,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.009,13.469
11.0,12.0,0.00595,0.0196,0.00502,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,14.181,46.715
2.0,12.0,0.0187,0.0616,0.01572,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.512,14.864
3.0,12.0,0.0484,0.16,0.0406,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.732,5.726
7.0,12.0,0.00862,0.034,0.00874,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,7.006,27.635
11.0,13.0,0.02225,0.0731,0.01876,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.811,12.52
12.0,14.0,0.0215,0.0707,0.01816,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.937,12.947
13.0,15.0,0.0744,0.2444,0.06268,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.14,3.745
14.0,15.0,0.0595,0.195,0.0502,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.431,4.691
12.0,16.0,0.0212,0.0834,0.0214,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.863,11.263
15.0,17.0,0.0132,0.0437,0.0444,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,6.334,20.97
16.0,17.0,0.0454,0.1801,0.0466,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.316,5.221
17.0,18.0,0.0123,0.0505,0.01298,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.553,18.693
18.0,19.0,0.01119,0.0493,0.01142,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.378,19.29
19.0,20.0,0.0252,0.117,0.0298,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.759,8.168
15.0,19.0,0.012,0.0394,0.0101,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,7.074,23.226
20.0,21.0,0.0183,0.0849,0.0216,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.426,11.256
21.0,22.0,0.0209,0.097,0.0246,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.123,9.852
