Bus ID,Bus Type,Real Power Demand,React Power Demand,Shunt Conductance,Shunt Susceptance,Area,Volt Magnitude,Volt Angle,Base Volt,Zone,Max Volt Magnitude,Min Volt Magnitude
1.0,2.0,51.0,27.0,0.0,0.0,1.0,0.955,10.67,138.0,1.0,1.06,0.94
2.0,1.0,20.0,9.0,0.0,0.0,1.0,0.971,11.22,138.0,1.0,1.06,0.94
3.0,1.0,39.0,10.0,0.0,0.0,1.0,0.968,11.56,138.0,1.0,1.06,0.94
4.0,2.0,39.0,12.0,0.0,0.0,1.0,0.998,15.28,138.0,1.0,1.06,0.94
5.0,1.0,0.0,0.0,0.0,-40.0,1.0,1.002,15.73,138.0,1.0,1.06,0.94
6.0,2.0,52.0,22.0,0.0,0.0,1.0,0.99,13.0,138.0,1.0,1.06,0.94
7.0,1.0,19.0,2.0,0.0,0.0,1.0,0.989,12.56,138.0,1.0,1.06,0.94
8.0,2.0,28.0,0.0,0.0,0.0,1.0,1.015,20.77,345.0,1.0,1.06,0.94
9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.043,28.02,345.0,1.0,1.06,0.94
10.0,2.0,0.0,0.0,0.0,0.0,1.0,1.05,35.61,345.0,1.0,1.06,0.94
11.0,1.0,70.0,23.0,0.0,0.0,1.0,0.985,12.72,138.0,1.0,1.06,0.94
12.0,2.0,47.0,10.0,0.0,0.0,1.0,0.99,12.2,138.0,1.0,1.06,0.94
13.0,1.0,34.0,16.0,0.0,0.0,1.0,0.968,11.35,138.0,1.0,1.06,0.94
14.0,1.0,14.0,1.0,0.0,0.0,1.0,0.984,11.5,138.0,1.0,1.06,0.94
15.0,2.0,90.0,30.0,0.0,0.0,1.0,0.97,11.23,138.0,1.0,1.06,0.94
16.0,1.0,25.0,10.0,0.0,0.0,1.0,0.984,11.91,138.0,1.0,1.06,0.94
17.0,1.0,11.0,3.0,0.0,0.0,1.0,0.995,13.74,138.0,1.0,1.06,0.94
18.0,2.0,60.0,34.0,0.0,0.0,1.0,0.973,11.53,138.0,1.0,1.06,0.94
19.0,2.0,45.0,25.0,0.0,0.0,1.0,0.963,11.05,138.0,1.0,1.06,0.94
20.0,1.0,18.0,3.0,0.0,0.0,1.0,0.958,11.93,138.0,1.0,1.06,0.94
21.0,1.0,14.0,8.0,0.0,0.0,1.0,0.959,13.52,138.0,1.0,1.06,0.94
22.0,1.0,10.0,5.0,0.0,0.0,1.0,0.97,16.08,138.0,1.0,1.06,0.94
23.0,1.0,7.0,3.0,0.0,0.0,1.0,1.0,21.0,138.0,1.0,1.06,0.94
24.0,2.0,13.0,0.0,0.0,0.0,1.0,0.992,20.89,138.0,1.0,1.06,0.94
25.0,2.0,0.0,0.0,0.0,0.0,1.0,1.05,27.93,138.0,1.0,1.06,0.94
26.0,2.0,0.0,0.0,0.0,0.0,1.0,1.015,29.71,345.0,1.0,1.06,0.94
27.0,2.0,71.0,13.0,0.0,0.0,1.0,0.968,15.35,138.0,1.0,1.06,0.94
28.0,1.0,17.0,7.0,0.0,0.0,1.0,0.962,13.62,138.0,1.0,1.06,0.94
29.0,1.0,24.0,4.0,0.0,0.0,1.0,0.963,12.63,138.0,1.0,1.06,0.94
30.0,1.0,0.0,0.0,0.0,0.0,1.0,0.968,18.79,345.0,1.0,1.06,0.94
31.0,2.0,43.0,27.0,0.0,0.0,1.0,0.967,12.75,138.0,1.0,1.06,0.94
32.0,2.0,59.0,23.0,0.0,0.0,1.0,0.964,14.8,138.0,1.0,1.06,0.94
33.0,1.0,23.0,9.0,0.0,0.0,1.0,0.972,10.63,138.0,1.0,1.06,0.94
34.0,2.0,59.0,26.0,0.0,14.0,1.0,0.986,11.3,138.0,1.0,1.06,0.94
35.0,1.0,33.0,9.0,0.0,0.0,1.0,0.981,10.87,138.0,1.0,1.06,0.94
36.0,2.0,31.0,17.0,0.0,0.0,1.0,0.98,10.87,138.0,1.0,1.06,0.94
37.0,1.0,0.0,0.0,0.0,-25.0,1.0,0.992,11.77,138.0,1.0,1.06,0.94
38.0,1.0,0.0,0.0,0.0,0.0,1.0,0.962,16.91,345.0,1.0,1.06,0.94
39.0,1.0,27.0,11.0,0.0,0.0,1.0,0.97,8.41,138.0,1.0,1.06,0.94
40.0,2.0,66.0,23.0,0.0,0.0,1.0,0.97,7.35,138.0,1.0,1.06,0.94
41.0,1.0,37.0,10.0,0.0,0.0,1.0,0.967,6.92,138.0,1.0,1.06,0.94
42.0,2.0,96.0,23.0,0.0,0.0,1.0,0.985,8.53,138.0,1.0,1.06,0.94
43.0,1.0,18.0,7.0,0.0,0.0,1.0,0.978,11.28,138.0,1.0,1.06,0.94
44.0,1.0,16.0,8.0,0.0,10.0,1.0,0.985,13.82,138.0,1.0,1.06,0.94
45.0,1.0,53.0,22.0,0.0,10.0,1.0,0.987,15.67,138.0,1.0,1.06,0.94
46.0,2.0,28.0,10.0,0.0,10.0,1.0,1.005,18.49,138.0,1.0,1.06,0.94
47.0,1.0,34.0,0.0,0.0,0.0,1.0,1.017,20.73,138.0,1.0,1.06,0.94
48.0,1.0,20.0,11.0,0.0,15.0,1.0,1.021,19.93,138.0,1.0,1.06,0.94
49.0,2.0,87.0,30.0,0.0,0.0,1.0,1.025,20.94,138.0,1.0,1.06,0.94
50.0,1.0,17.0,4.0,0.0,0.0,1.0,1.001,18.9,138.0,1.0,1.06,0.94
51.0,1.0,17.0,8.0,0.0,0.0,1.0,0.967,16.28,138.0,1.0,1.06,0.94
52.0,1.0,18.0,5.0,0.0,0.0,1.0,0.957,15.32,138.0,1.0,1.06,0.94
53.0,1.0,23.0,11.0,0.0,0.0,1.0,0.946,14.35,138.0,1.0,1.06,0.94
54.0,2.0,113.0,32.0,0.0,0.0,1.0,0.955,15.26,138.0,1.0,1.06,0.94
55.0,2.0,63.0,22.0,0.0,0.0,1.0,0.952,14.97,138.0,1.0,1.06,0.94
56.0,2.0,84.0,18.0,0.0,0.0,1.0,0.954,15.16,138.0,1.0,1.06,0.94
57.0,1.0,12.0,3.0,0.0,0.0,1.0,0.971,16.36,138.0,1.0,1.06,0.94
58.0,1.0,12.0,3.0,0.0,0.0,1.0,0.959,15.51,138.0,1.0,1.06,0.94
59.0,2.0,277.0,113.0,0.0,0.0,1.0,0.985,19.37,138.0,1.0,1.06,0.94
60.0,1.0,78.0,3.0,0.0,0.0,1.0,0.993,23.15,138.0,1.0,1.06,0.94
61.0,2.0,0.0,0.0,0.0,0.0,1.0,0.995,24.04,138.0,1.0,1.06,0.94
62.0,2.0,77.0,14.0,0.0,0.0,1.0,0.998,23.43,138.0,1.0,1.06,0.94
63.0,1.0,0.0,0.0,0.0,0.0,1.0,0.969,22.75,345.0,1.0,1.06,0.94
64.0,1.0,0.0,0.0,0.0,0.0,1.0,0.984,24.52,345.0,1.0,1.06,0.94
65.0,2.0,0.0,0.0,0.0,0.0,1.0,1.005,27.65,345.0,1.0,1.06,0.94
66.0,2.0,39.0,18.0,0.0,0.0,1.0,1.05,27.48,138.0,1.0,1.06,0.94
67.0,1.0,28.0,7.0,0.0,0.0,1.0,1.02,24.84,138.0,1.0,1.06,0.94
68.0,1.0,0.0,0.0,0.0,0.0,1.0,1.003,27.55,345.0,1.0,1.06,0.94
69.0,3.0,0.0,0.0,0.0,0.0,1.0,1.035,30.0,138.0,1.0,1.06,0.94
70.0,2.0,66.0,20.0,0.0,0.0,1.0,0.984,22.58,138.0,1.0,1.06,0.94
71.0,1.0,0.0,0.0,0.0,0.0,1.0,0.987,22.15,138.0,1.0,1.06,0.94
72.0,2.0,12.0,0.0,0.0,0.0,1.0,0.98,20.98,138.0,1.0,1.06,0.94
73.0,2.0,6.0,0.0,0.0,0.0,1.0,0.991,21.94,138.0,1.0,1.06,0.94
74.0,2.0,68.0,27.0,0.0,12.0,1.0,0.958,21.64,138.0,1.0,1.06,0.94
75.0,1.0,47.0,11.0,0.0,0.0,1.0,0.967,22.91,138.0,1.0,1.06,0.94
76.0,2.0,68.0,36.0,0.0,0.0,1.0,0.943,21.77,138.0,1.0,1.06,0.94
77.0,2.0,61.0,28.0,0.0,0.0,1.0,1.006,26.72,138.0,1.0,1.06,0.94
78.0,1.0,71.0,26.0,0.0,0.0,1.0,1.003,26.42,138.0,1.0,1.06,0.94
79.0,1.0,39.0,32.0,0.0,20.0,1.0,1.009,26.72,138.0,1.0,1.06,0.94
80.0,2.0,130.0,26.0,0.0,0.0,1.0,1.04,28.96,138.0,1.0,1.06,0.94
81.0,1.0,0.0,0.0,0.0,0.0,1.0,0.997,28.1,345.0,1.0,1.06,0.94
82.0,1.0,54.0,27.0,0.0,20.0,1.0,0.989,27.24,138.0,1.0,1.06,0.94
83.0,1.0,20.0,10.0,0.0,10.0,1.0,0.985,28.42,138.0,1.0,1.06,0.94
84.0,1.0,11.0,7.0,0.0,0.0,1.0,0.98,30.95,138.0,1.0,1.06,0.94
85.0,2.0,24.0,15.0,0.0,0.0,1.0,0.985,32.51,138.0,1.0,1.06,0.94
86.0,1.0,21.0,10.0,0.0,0.0,1.0,0.987,31.14,138.0,1.0,1.06,0.94
87.0,2.0,0.0,0.0,0.0,0.0,1.0,1.015,31.4,161.0,1.0,1.06,0.94
88.0,1.0,48.0,10.0,0.0,0.0,1.0,0.987,35.64,138.0,1.0,1.06,0.94
89.0,2.0,0.0,0.0,0.0,0.0,1.0,1.005,39.69,138.0,1.0,1.06,0.94
90.0,2.0,163.0,42.0,0.0,0.0,1.0,0.985,33.29,138.0,1.0,1.06,0.94
91.0,2.0,10.0,0.0,0.0,0.0,1.0,0.98,33.31,138.0,1.0,1.06,0.94
92.0,2.0,65.0,10.0,0.0,0.0,1.0,0.993,33.8,138.0,1.0,1.06,0.94
93.0,1.0,12.0,7.0,0.0,0.0,1.0,0.987,30.79,138.0,1.0,1.06,0.94
94.0,1.0,30.0,16.0,0.0,0.0,1.0,0.991,28.64,138.0,1.0,1.06,0.94
95.0,1.0,42.0,31.0,0.0,0.0,1.0,0.981,27.67,138.0,1.0,1.06,0.94
96.0,1.0,38.0,15.0,0.0,0.0,1.0,0.993,27.51,138.0,1.0,1.06,0.94
97.0,1.0,15.0,9.0,0.0,0.0,1.0,1.011,27.88,138.0,1.0,1.06,0.94
98.0,1.0,34.0,8.0,0.0,0.0,1.0,1.024,27.4,138.0,1.0,1.06,0.94
99.0,2.0,42.0,0.0,0.0,0.0,1.0,1.01,27.04,138.0,1.0,1.06,0.94
100.0,2.0,37.0,18.0,0.0,0.0,1.0,1.017,28.03,138.0,1.0,1.06,0.94
101.0,1.0,22.0,15.0,0.0,0.0,1.0,0.993,29.61,138.0,1.0,1.06,0.94
102.0,1.0,5.0,3.0,0.0,0.0,1.0,0.991,32.3,138.0,1.0,1.06,0.94
103.0,2.0,23.0,16.0,0.0,0.0,1.0,1.001,24.44,138.0,1.0,1.06,0.94
104.0,2.0,38.0,25.0,0.0,0.0,1.0,0.971,21.69,138.0,1.0,1.06,0.94
105.0,2.0,31.0,26.0,0.0,20.0,1.0,0.965,20.57,138.0,1.0,1.06,0.94
106.0,1.0,43.0,16.0,0.0,0.0,1.0,0.962,20.32,138.0,1.0,1.06,0.94
107.0,2.0,50.0,12.0,0.0,6.0,1.0,0.952,17.53,138.0,1.0,1.06,0.94
108.0,1.0,2.0,1.0,0.0,0.0,1.0,0.967,19.38,138.0,1.0,1.06,0.94
109.0,1.0,8.0,3.0,0.0,0.0,1.0,0.967,18.93,138.0,1.0,1.06,0.94
110.0,2.0,39.0,30.0,0.0,6.0,1.0,0.973,18.09,138.0,1.0,1.06,0.94
111.0,2.0,0.0,0.0,0.0,0.0,1.0,0.98,19.74,138.0,1.0,1.06,0.94
112.0,2.0,68.0,13.0,0.0,0.0,1.0,0.975,14.99,138.0,1.0,1.06,0.94
113.0,2.0,6.0,0.0,0.0,0.0,1.0,0.993,13.74,138.0,1.0,1.06,0.94
114.0,1.0,8.0,3.0,0.0,0.0,1.0,0.96,14.46,138.0,1.0,1.06,0.94
115.0,1.0,22.0,7.0,0.0,0.0,1.0,0.96,14.46,138.0,1.0,1.06,0.94
116.0,2.0,184.0,0.0,0.0,0.0,1.0,1.005,27.12,138.0,1.0,1.06,0.94
117.0,1.0,20.0,8.0,0.0,0.0,1.0,0.974,10.67,138.0,1.0,1.06,0.94
118.0,1.0,33.0,15.0,0.0,0.0,1.0,0.949,21.92,138.0,1.0,1.06,0.94
