From Bus,To Bus,Resistance,Reactance,Susceptance,RateA,RateB,RateC,Ratio,Angle,Status,Min Angle Difference,Max Angle Difference,G,B
1,2,0.01938,0.05917,0.0528,0,0,0,0,0,1,-360,360,4.999,15.263
1,5,0.05403,0.22304,0.0492,0,0,0,0,0,1,-360,360,1.026,4.235
2,3,0.04699,0.19797,0.0438,0,0,0,0,0,1,-360,360,1.135,4.782
2,4,0.05811,0.17632,0.034,0,0,0,0,0,1,-360,360,1.686,5.116
2,5,0.05695,0.17388,0.0346,0,0,0,0,0,1,-360,360,1.701,5.194
3,4,0.06701,0.17103,0.0128,0,0,0,0,0,1,-360,360,1.986,5.069
4,5,0.01335,0.04211,0,0,0,0,0,0,1,-360,360,6.841,21.579
4,7,0,0.20912,0,0,0,0,0.978,0,1,-360,360,0,4.782
4,9,0,0.55618,0,0,0,0,0.969,0,1,-360,360,0,1.798
5,6,0,0.25202,0,0,0,0,0.932,0,1,-360,360,0,3.968
6,11,0.09498,0.1989,0,0,0,0,0,0,1,-360,360,1.955,4.094
6,12,0.12291,0.25581,0,0,0,0,0,0,1,-360,360,1.526,3.176
6,13,0.06615,0.13027,0,0,0,0,0,0,1,-360,360,3.099,6.103
7,8,0,0.17615,0,0,0,0,0,0,1,-360,360,0,5.677
7,9,0,0.11001,0,0,0,0,0,0,1,-360,360,0,9.09
9,10,0.03181,0.0845,0,0,0,0,0,0,1,-360,360,3.902,10.365
9,14,0.12711,0.27038,0,0,0,0,0,0,1,-360,360,1.424,3.029
10,11,0.08205,0.19207,0,0,0,0,0,0,1,-360,360,1.881,4.403
12,13,0.22092,0.19988,0,0,0,0,0,0,1,-360,360,2.489,2.252
13,14,0.17093,0.34802,0,0,0,0,0,0,1,-360,360,1.137,2.315
