Bus ID,Max Real Power Output,Min Real Power Output,Max React Power Output,Min React Power Output,Real Power Output,React Power Output
100.0,352.0,0.0,155.0,-50.0,186,-25
103.0,140.0,0.0,40.0,-15.0,40,33
104.0,100.0,0.0,23.0,-8.0,11,0
105.0,100.0,0.0,23.0,-8.0,8,18
107.0,100.0,0.0,200.0,-200.0,2,27
110.0,100.0,0.0,23.0,-8.0,37,3
111.0,136.0,0.0,1000.0,-100.0,27,-83
112.0,100.0,0.0,1000.0,-100.0,89,169
113.0,100.0,0.0,200.0,-100.0,44,105
116.0,100.0,0.0,1000.0,-1000.0,37,-375
100.0,352.0,0.0,155.0,-50.0,299,140
103.0,140.0,0.0,40.0,-15.0,46,3
104.0,100.0,0.0,23.0,-8.0,73,17
105.0,100.0,0.0,23.0,-8.0,21,3
107.0,100.0,0.0,200.0,-200.0,29,20
110.0,100.0,0.0,23.0,-8.0,71,-7
111.0,136.0,0.0,1000.0,-100.0,55,447
112.0,100.0,0.0,1000.0,-100.0,41,622
113.0,100.0,0.0,200.0,-100.0,70,-39
116.0,100.0,0.0,1000.0,-1000.0,7,519
100.0,352.0,0.0,155.0,-50.0,302,31
103.0,140.0,0.0,40.0,-15.0,61,1
104.0,100.0,0.0,23.0,-8.0,19,10
105.0,100.0,0.0,23.0,-8.0,1,0
107.0,100.0,0.0,200.0,-200.0,62,-14
110.0,100.0,0.0,23.0,-8.0,60,10
111.0,136.0,0.0,1000.0,-100.0,106,508
112.0,100.0,0.0,1000.0,-100.0,54,417
113.0,100.0,0.0,200.0,-100.0,23,105
116.0,100.0,0.0,1000.0,-1000.0,49,616
100.0,352.0,0.0,155.0,-50.0,211,40
103.0,140.0,0.0,40.0,-15.0,109,23
104.0,100.0,0.0,23.0,-8.0,76,10
105.0,100.0,0.0,23.0,-8.0,66,-1
107.0,100.0,0.0,200.0,-200.0,48,190
110.0,100.0,0.0,23.0,-8.0,89,20
111.0,136.0,0.0,1000.0,-100.0,20,745
112.0,100.0,0.0,1000.0,-100.0,71,332
113.0,100.0,0.0,200.0,-100.0,57,139
116.0,100.0,0.0,1000.0,-1000.0,6,-14
100.0,352.0,0.0,155.0,-50.0,94,92
