From Bus,To Bus,Resistance,Reactance,Susceptance,RateA,RateB,RateC,Ratio,Angle,Status,Min Angle Difference,Max Angle Difference,G,B
1.0,2.0,0.0083,0.028,0.129,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,9.732,32.83
2.0,3.0,0.0298,0.085,0.0818,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.673,10.477
3.0,4.0,0.0112,0.0366,0.038,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,7.645,24.983
4.0,5.0,0.0625,0.132,0.0258,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.93,6.188
4.0,6.0,0.043,0.148,0.0348,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.81,6.231
6.0,7.0,0.02,0.102,0.0276,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.851,9.441
6.0,8.0,0.0339,0.173,0.047,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.091,5.567
8.0,9.0,0.0099,0.0505,0.0548,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.738,19.069
9.0,10.0,0.0369,0.1679,0.044,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.249,5.682
9.0,11.0,0.0258,0.0848,0.0218,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.284,10.793
9.0,12.0,0.0648,0.295,0.0772,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,0.71,3.234
9.0,13.0,0.0481,0.158,0.0406,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.763,5.792
13.0,14.0,0.0132,0.0434,0.011,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,6.415,21.09
13.0,15.0,0.0269,0.0869,0.023,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.251,10.501
1.0,15.0,0.0178,0.091,0.0988,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.07,10.584
1.0,16.0,0.0454,0.206,0.0546,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.02,4.63
1.0,17.0,0.0238,0.108,0.0286,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.946,8.83
3.0,15.0,0.0162,0.053,0.0544,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,5.274,17.256
4.0,18.0,0.0,0.555,0.0,0.0,0.0,0.0,0.97,0.0,1.0,-360.0,360.0,0.0,1.802
4.0,18.0,0.0,0.43,0.0,0.0,0.0,0.0,0.978,0.0,1.0,-360.0,360.0,0.0,2.326
5.0,6.0,0.0302,0.0641,0.0124,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,6.015,12.767
7.0,8.0,0.0139,0.0712,0.0194,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.641,13.529
10.0,12.0,0.0277,0.1262,0.0328,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.659,7.56
11.0,13.0,0.0223,0.0732,0.0188,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.808,12.501
12.0,13.0,0.0178,0.058,0.0604,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.836,15.757
12.0,16.0,0.018,0.0813,0.0216,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.596,11.725
12.0,17.0,0.0397,0.179,0.0476,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.181,5.325
14.0,15.0,0.0171,0.0547,0.0148,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,5.206,16.654
18.0,19.0,0.461,0.685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,0.676,1.005
19.0,20.0,0.283,0.434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.054,1.617
21.0,20.0,0.0,0.7767,0.0,0.0,0.0,0.0,1.043,0.0,1.0,-360.0,360.0,0.0,1.287
21.0,22.0,0.0736,0.117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,3.852,6.124
22.0,23.0,0.0099,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,30.087,46.194
23.0,24.0,0.166,0.256,0.0084,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.783,2.75
24.0,25.0,0.0,1.182,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0,0.0,0.846
24.0,25.0,0.0,1.23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0,0.0,0.813
24.0,26.0,0.0,0.0473,0.0,0.0,0.0,0.0,1.043,0.0,1.0,-360.0,360.0,0.0,21.142
26.0,27.0,0.165,0.254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,1.799,2.769
27.0,28.0,0.0618,0.0954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,4.783,7.384
28.0,29.0,0.0418,0.0587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,8.049,11.304
7.0,29.0,0.0,0.0648,0.0,0.0,0.0,0.0,0.967,0.0,1.0,-360.0,360.0,0.0,15.432
25.0,30.0,0.135,0.202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,2.287,3.422
30.0,31.0,0.326,0.497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,0.923,1.407
31.0,32.0,0.507,0.755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,0.613,0.913
32.0,33.0,0.0392,0.036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,13.839,12.709
34.0,32.0,0.0,0.953,0.0,0.0,0.0,0.0,0.975,0.0,1.0,-360.0,360.0,0.0,1.049
34.0,35.0,0.052,0.078,0.0032,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,5.917,8.876
35.0,36.0,0.043,0.0537,0.0016,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,9.086,11.347
36.0,37.0,0.029,0.0366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0,13.299,16.785
