Bus ID,Bus Type,Real Power Demand,React Power Demand,Shunt Conductance,Shunt Susceptance,Area,Volt Magnitude,Volt Angle,Base Volt,Zone,Max Volt Magnitude,Min Volt Magnitude
1.0,3.0,55.0,17.0,0.0,0.0,1.0,1.04,0.0,0.0,1.0,1.06,0.94
2.0,2.0,3.0,88.0,0.0,0.0,1.0,1.01,-1.18,0.0,1.0,1.06,0.94
3.0,2.0,41.0,21.0,0.0,0.0,1.0,0.985,-5.97,0.0,1.0,1.06,0.94
4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.981,-7.32,0.0,1.0,1.06,0.94
5.0,1.0,13.0,4.0,0.0,0.0,1.0,0.976,-8.52,0.0,1.0,1.06,0.94
6.0,2.0,75.0,2.0,0.0,0.0,1.0,0.98,-8.65,0.0,1.0,1.06,0.94
7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.984,-7.58,0.0,1.0,1.06,0.94
8.0,2.0,150.0,22.0,0.0,0.0,1.0,1.005,-4.45,0.0,1.0,1.06,0.94
9.0,2.0,121.0,26.0,0.0,0.0,1.0,0.98,-9.56,0.0,1.0,1.06,0.94
10.0,1.0,5.0,2.0,0.0,0.0,1.0,0.986,-11.43,0.0,1.0,1.06,0.94
11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.974,-10.17,0.0,1.0,1.06,0.94
12.0,2.0,377.0,24.0,0.0,0.0,1.0,1.015,-10.46,0.0,1.0,1.06,0.94
13.0,1.0,18.0,2.3,0.0,0.0,1.0,0.979,-9.79,0.0,1.0,1.06,0.94
14.0,1.0,10.5,5.3,0.0,0.0,1.0,0.97,-9.33,0.0,1.0,1.06,0.94
15.0,1.0,22.0,5.0,0.0,0.0,1.0,0.988,-7.18,0.0,1.0,1.06,0.94
16.0,1.0,43.0,3.0,0.0,0.0,1.0,1.013,-8.85,0.0,1.0,1.06,0.94
17.0,1.0,42.0,8.0,0.0,0.0,1.0,1.017,-5.39,0.0,1.0,1.06,0.94
18.0,1.0,27.2,9.8,0.0,10.0,1.0,1.001,-11.71,0.0,1.0,1.06,0.94
19.0,1.0,3.3,0.6,0.0,0.0,1.0,0.97,-13.2,0.0,1.0,1.06,0.94
20.0,1.0,2.3,1.0,0.0,0.0,1.0,0.964,-13.41,0.0,1.0,1.06,0.94
21.0,1.0,0.0,0.0,0.0,0.0,1.0,1.008,-12.89,0.0,1.0,1.06,0.94
22.0,1.0,0.0,0.0,0.0,0.0,1.0,1.01,-12.84,0.0,1.0,1.06,0.94
23.0,1.0,6.3,2.1,0.0,0.0,1.0,1.008,-12.91,0.0,1.0,1.06,0.94
24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.999,-13.25,0.0,1.0,1.06,0.94
25.0,1.0,6.3,3.2,0.0,5.9,1.0,0.982,-18.13,0.0,1.0,1.06,0.94
26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.959,-12.95,0.0,1.0,1.06,0.94
27.0,1.0,9.3,0.5,0.0,0.0,1.0,0.982,-11.48,0.0,1.0,1.06,0.94
28.0,1.0,4.6,2.3,0.0,0.0,1.0,0.997,-10.45,0.0,1.0,1.06,0.94
29.0,1.0,17.0,2.6,0.0,0.0,1.0,1.01,-9.75,0.0,1.0,1.06,0.94
30.0,1.0,3.6,1.8,0.0,0.0,1.0,0.962,-18.68,0.0,1.0,1.06,0.94
31.0,1.0,5.8,2.9,0.0,0.0,1.0,0.936,-19.34,0.0,1.0,1.06,0.94
32.0,1.0,1.6,0.8,0.0,0.0,1.0,0.949,-18.46,0.0,1.0,1.06,0.94
33.0,1.0,3.8,1.9,0.0,0.0,1.0,0.947,-18.5,0.0,1.0,1.06,0.94
34.0,1.0,0.0,0.0,0.0,0.0,1.0,0.959,-14.1,0.0,1.0,1.06,0.94
35.0,1.0,6.0,3.0,0.0,0.0,1.0,0.966,-13.86,0.0,1.0,1.06,0.94
36.0,1.0,0.0,0.0,0.0,0.0,1.0,0.976,-13.59,0.0,1.0,1.06,0.94
37.0,1.0,0.0,0.0,0.0,0.0,1.0,0.985,-13.41,0.0,1.0,1.06,0.94
38.0,1.0,14.0,7.0,0.0,0.0,1.0,1.013,-12.71,0.0,1.0,1.06,0.94
39.0,1.0,0.0,0.0,0.0,0.0,1.0,0.983,-13.46,0.0,1.0,1.06,0.94
40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.973,-13.62,0.0,1.0,1.06,0.94
41.0,1.0,6.3,3.0,0.0,0.0,1.0,0.996,-14.05,0.0,1.0,1.06,0.94
42.0,1.0,7.1,4.4,0.0,0.0,1.0,0.966,-15.5,0.0,1.0,1.06,0.94
43.0,1.0,2.0,1.0,0.0,0.0,1.0,1.01,-11.33,0.0,1.0,1.06,0.94
44.0,1.0,12.0,1.8,0.0,0.0,1.0,1.017,-11.86,0.0,1.0,1.06,0.94
45.0,1.0,0.0,0.0,0.0,0.0,1.0,1.036,-9.25,0.0,1.0,1.06,0.94
46.0,1.0,0.0,0.0,0.0,0.0,1.0,1.05,-11.89,0.0,1.0,1.06,0.94
47.0,1.0,29.7,11.6,0.0,0.0,1.0,1.033,-12.49,0.0,1.0,1.06,0.94
48.0,1.0,0.0,0.0,0.0,0.0,1.0,1.027,-12.59,0.0,1.0,1.06,0.94
49.0,1.0,18.0,8.5,0.0,0.0,1.0,1.036,-12.92,0.0,1.0,1.06,0.94
50.0,1.0,21.0,10.5,0.0,0.0,1.0,1.023,-13.39,0.0,1.0,1.06,0.94
51.0,1.0,18.0,5.3,0.0,0.0,1.0,1.052,-12.52,0.0,1.0,1.06,0.94
52.0,1.0,4.9,2.2,0.0,0.0,1.0,0.98,-11.47,0.0,1.0,1.06,0.94
53.0,1.0,20.0,10.0,0.0,6.3,1.0,0.971,-12.23,0.0,1.0,1.06,0.94
54.0,1.0,4.1,1.4,0.0,0.0,1.0,0.996,-11.69,0.0,1.0,1.06,0.94
55.0,1.0,6.8,3.4,0.0,0.0,1.0,1.031,-10.78,0.0,1.0,1.06,0.94
56.0,1.0,7.6,2.2,0.0,0.0,1.0,0.968,-16.04,0.0,1.0,1.06,0.94
57.0,1.0,6.7,2.0,0.0,0.0,1.0,0.965,-16.56,0.0,1.0,1.06,0.94
