Bus ID,Max Real Power Output,Min Real Power Output,Max React Power Output,Min React Power Output,Real Power Output,React Power Output
222,184.0,0.0,80.0,40.0,169,77
247,567.0,0.0,210.0,-210.0,466,102
248,723.0,0.0,280.0,-280.0,1,68
249,1310.0,0.0,420.0,-420.0,1193,296
250,334.0,0.0,100.0,-100.0,187,-100
251,472.0,0.0,224.0,-224.0,441,-37
252,430.0,0.0,350.0,0.0,115,149
253,285.0,0.0,120.0,0.0,137,84
254,510.0,0.0,224.0,-224.0,19,144
255,600.0,0.0,200.0,-200.0,445,9
256,137.0,0.0,42.0,0.0,47,29
257,2399.005,0.0,10.0,0.0,1296,7
258,145.0,0.0,25.0,0.0,49,22
259,265.0,0.0,90.0,-90.0,143,58
260,500.0,0.0,150.0,-150.0,241,-141
261,500.0,0.0,150.0,0.0,254,134
262,216.0,0.0,87.0,0.0,112,31
263,1392.0,0.0,600.0,-100.0,972,181
264,800.0,0.0,325.0,-125.0,183,105
265,653.0,0.0,300.0,-200.0,395,290
267,100.0,0.0,2.0,-2.0,66,0
292,100.0,0.0,17.35,-17.35,68,-15
294,100.0,0.0,12.83,-12.8,19,4
295,150.0,0.0,38.0,-38.0,30,18
296,108.0,0.0,6.0,-6.0,90,5
222,184.0,0.0,80.0,40.0,132,50
247,567.0,0.0,210.0,-210.0,155,206
248,723.0,0.0,280.0,-280.0,59,246
249,1310.0,0.0,420.0,-420.0,562,-61
250,334.0,0.0,100.0,-100.0,158,-43
251,472.0,0.0,224.0,-224.0,113,-157
252,430.0,0.0,350.0,0.0,397,241
253,285.0,0.0,120.0,0.0,265,55
254,510.0,0.0,224.0,-224.0,152,-27
255,600.0,0.0,200.0,-200.0,232,-1
256,137.0,0.0,42.0,0.0,81,11
257,2399.005,0.0,10.0,0.0,747,7
258,145.0,0.0,25.0,0.0,49,16
259,265.0,0.0,90.0,-90.0,178,86
260,500.0,0.0,150.0,-150.0,71,41
261,500.0,0.0,150.0,0.0,285,54
262,216.0,0.0,87.0,0.0,164,66
263,1392.0,0.0,600.0,-100.0,1060,384
264,800.0,0.0,325.0,-125.0,419,121
265,653.0,0.0,300.0,-200.0,91,96
267,100.0,0.0,2.0,-2.0,30,-1
292,100.0,0.0,17.35,-17.35,75,-15
294,100.0,0.0,12.83,-12.8,83,-10
295,150.0,0.0,38.0,-38.0,102,-28
296,108.0,0.0,6.0,-6.0,73,-3
222,184.0,0.0,80.0,40.0,154,72
247,567.0,0.0,210.0,-210.0,101,-161
248,723.0,0.0,280.0,-280.0,105,46
249,1310.0,0.0,420.0,-420.0,353,-158
250,334.0,0.0,100.0,-100.0,171,29
251,472.0,0.0,224.0,-224.0,457,110
252,430.0,0.0,350.0,0.0,133,184
253,285.0,0.0,120.0,0.0,183,116
254,510.0,0.0,224.0,-224.0,53,-86
255,600.0,0.0,200.0,-200.0,83,173
256,137.0,0.0,42.0,0.0,27,7
257,2399.005,0.0,10.0,0.0,218,9
258,145.0,0.0,25.0,0.0,9,19
259,265.0,0.0,90.0,-90.0,19,-22
260,500.0,0.0,150.0,-150.0,391,-121
261,500.0,0.0,150.0,0.0,451,132
262,216.0,0.0,87.0,0.0,88,39
263,1392.0,0.0,600.0,-100.0,709,395
264,800.0,0.0,325.0,-125.0,431,6
265,653.0,0.0,300.0,-200.0,475,-117
267,100.0,0.0,2.0,-2.0,94,-2
292,100.0,0.0,17.35,-17.35,87,-11
294,100.0,0.0,12.83,-12.8,25,-8
295,150.0,0.0,38.0,-38.0,98,-18
296,108.0,0.0,6.0,-6.0,85,5
222,184.0,0.0,80.0,40.0,143,56
247,567.0,0.0,210.0,-210.0,175,51
248,723.0,0.0,280.0,-280.0,591,173
249,1310.0,0.0,420.0,-420.0,663,80
250,334.0,0.0,100.0,-100.0,44,-3
251,472.0,0.0,224.0,-224.0,16,200
252,430.0,0.0,350.0,0.0,64,85
253,285.0,0.0,120.0,0.0,42,25
254,510.0,0.0,224.0,-224.0,405,173
255,600.0,0.0,200.0,-200.0,275,-154
256,137.0,0.0,42.0,0.0,107,40
257,2399.005,0.0,10.0,0.0,168,2
258,145.0,0.0,25.0,0.0,65,13
259,265.0,0.0,90.0,-90.0,16,82
260,500.0,0.0,150.0,-150.0,413,54
261,500.0,0.0,150.0,0.0,341,111
262,216.0,0.0,87.0,0.0,155,55
263,1392.0,0.0,600.0,-100.0,166,404
264,800.0,0.0,325.0,-125.0,344,15
265,653.0,0.0,300.0,-200.0,158,288
267,100.0,0.0,2.0,-2.0,10,-1
292,100.0,0.0,17.35,-17.35,71,-11
294,100.0,0.0,12.83,-12.8,67,1
295,150.0,0.0,38.0,-38.0,141,17
296,108.0,0.0,6.0,-6.0,70,-6
222,184.0,0.0,80.0,40.0,15,55
247,567.0,0.0,210.0,-210.0,427,-15
248,723.0,0.0,280.0,-280.0,666,30
249,1310.0,0.0,420.0,-420.0,355,400
